player_id,birthDate,age
701564,1999-12-23,25.0
672613,1999-09-23,25.0
801194,2002-02-28,23.0
668731,1998-08-16,26.0
666364,1998-09-17,26.0
666123,1997-05-01,28.0
694425,1999-01-24,26.0
801682,1997-05-04,28.0
605154,1990-05-30,35.0
689225,1998-04-04,27.0
663971,1996-02-27,29.0
681481,1997-09-02,27.0
605177,1990-06-17,35.0
502171,1987-10-07,37.0
669360,1998-07-05,26.0
680743,1999-11-12,25.0
677976,1995-01-17,30.0
686639,1996-09-05,28.0
608650,1991-05-16,34.0
802953,2000-03-18,25.0
640448,1991-09-04,33.0
671345,1995-11-01,29.0
657424,1993-02-11,32.0
592325,1992-05-17,33.0
687830,1997-12-12,27.0
808970,1998-08-06,26.0
674944,1995-12-29,29.0
669724,1998-05-29,27.0
664129,1993-12-09,31.0
682073,1996-03-28,29.0
665859,1999-04-13,26.0
676051,1996-07-03,28.0
676551,1996-02-09,29.0
690544,1998-01-15,27.0
676428,1998-09-06,26.0
628451,1993-04-03,32.0
687543,2000-11-03,24.0
663330,1997-08-04,27.0
690291,2000-10-04,24.0
668952,1997-11-12,27.0
656638,1995-10-02,29.0
695445,1998-08-13,26.0
701678,2003-02-03,22.0
679712,1997-12-31,27.0
676632,1996-02-29,29.0
669234,2000-02-19,25.0
666159,1998-01-28,27.0
676606,1996-06-18,29.0
622534,1994-09-28,30.0
694331,1999-09-05,25.0
678009,1999-11-02,25.0
675512,2000-12-03,24.0
685332,1999-12-14,25.0
800723,1997-09-15,27.0
701464,2000-03-13,25.0
668943,1996-03-28,29.0
672456,2000-07-06,24.0
689456,1999-01-26,26.0
676987,1995-11-14,29.0
685382,1998-05-28,27.0
621028,1993-08-04,31.0
621512,1994-04-12,31.0
681857,1999-07-31,25.0
687074,2001-01-09,24.0
685329,1998-09-07,26.0
672761,1999-10-30,25.0
696275,1999-09-23,25.0
676571,1996-07-25,28.0
663432,1992-12-25,32.0
668670,1995-04-18,30.0
679663,1997-05-23,28.0
676910,1995-04-19,30.0
661531,1995-05-05,30.0
623149,1990-05-26,35.0
656970,1995-09-07,29.0
681916,2000-05-28,25.0
805427,2000-08-14,24.0
700242,2000-04-24,25.0
663378,1996-06-12,29.0
624523,1995-08-03,29.0
664353,1995-05-01,30.0
680664,2000-01-25,25.0
676568,1998-10-13,26.0
663837,1996-09-16,28.0
681890,1997-06-11,28.0
686839,1998-11-18,26.0
669398,1999-10-24,25.0
